Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE401_Memory_Leak__int_malloc_10_x86_64_Ofast.bad,x86-64,bap,Success,6.45,28.66,0,698,1727
CWE401_Memory_Leak__int_malloc_10_x86_64_Ofast.bad,x86-64,llvm,Success,.02,9.87,0,0,797
CWE401_Memory_Leak__malloc_realloc_char_06_mips_Os.bad,MIPS,ghidra,Success,11.66,777.42,111,176,2655
CWE401_Memory_Leak__malloc_realloc_char_06_mips_Os.bad,MIPS,angr,Success,1.02,133.49,109,203,2866
CWE401_Memory_Leak__malloc_realloc_char_06_mips_Os.bad,MIPS,bap,Success,4.62,28.94,0,899,881
CWE401_Memory_Leak__malloc_realloc_char_06_mips_Os.bad,MIPS,llvm,Success,.01,8.66,0,0,0
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_09_riscv64_O3.good,UCB RISC-V,ghidra,Success,8.65,651.65,125,192,1569
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_09_riscv64_O3.good,UCB RISC-V,angr,Failure - Crash,.78,112.41,0,0,0
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_09_riscv64_O3.good,UCB RISC-V,bap,Success,4.80,28.27,0,713,731
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_09_riscv64_O3.good,UCB RISC-V,llvm,Success,.01,8.40,0,0,0
CWE401_Memory_Leak__int_calloc_16_riscv64_O0.bad,UCB RISC-V,ghidra,Success,9.04,789.01,132,213,2620
CWE401_Memory_Leak__int_calloc_16_riscv64_O0.bad,UCB RISC-V,angr,Failure - Crash,.80,112.52,0,0,0
CWE401_Memory_Leak__int_calloc_16_riscv64_O0.bad,UCB RISC-V,bap,Success,4.93,28.58,0,1120,1118
CWE401_Memory_Leak__int_calloc_16_riscv64_O0.bad,UCB RISC-V,llvm,Success,.01,8.65,0,0,0
CWE401_Memory_Leak__char_realloc_01_x86_64_O3.bad,x86-64,ghidra,Success,8.41,702.44,132,197,2171
CWE401_Memory_Leak__char_realloc_01_x86_64_O3.bad,x86-64,angr,Success,.96,134.38,209,327,2961
CWE401_Memory_Leak__char_realloc_01_x86_64_O3.bad,x86-64,bap,Success,4.76,28.05,0,680,1680
CWE401_Memory_Leak__char_realloc_01_x86_64_O3.bad,x86-64,llvm,Success,.01,10.33,0,0,776
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_21_armel_O2.bad,ARM,ghidra,Success,69.03,977.52,1303,32076,735717
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_21_armel_O2.bad,ARM,angr,Success,22.62,511.53,3628,33576,656707
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_21_armel_O2.bad,ARM,bap,Success,44.09,28.03,0,123703,219211
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_21_armel_O2.bad,ARM,llvm,Success,.01,8.63,0,0,0
CWE401_Memory_Leak__int64_t_calloc_17_riscv64_O2.good,UCB RISC-V,ghidra,Success,8.94,864.28,130,193,1526
CWE401_Memory_Leak__int64_t_calloc_17_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.78,112.55,0,0,0
CWE401_Memory_Leak__int64_t_calloc_17_riscv64_O2.good,UCB RISC-V,bap,Success,4.70,28.51,0,696,721
CWE401_Memory_Leak__int64_t_calloc_17_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.86,0,0,0
CWE401_Memory_Leak__char_malloc_21_x86_64_O1.good,x86-64,ghidra,Success,7.85,733.44,132,221,2258
CWE401_Memory_Leak__char_malloc_21_x86_64_O1.good,x86-64,angr,Success,.92,134.26,153,295,3375
CWE401_Memory_Leak__char_malloc_21_x86_64_O1.good,x86-64,bap,Success,4.71,27.76,0,719,1837
CWE401_Memory_Leak__char_malloc_21_x86_64_O1.good,x86-64,llvm,Success,.01,10.48,0,0,766
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_15_mips_O0.bad,MIPS,ghidra,Success,8.39,706.95,108,188,3668
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_15_mips_O0.bad,MIPS,angr,Success,1.02,134.26,106,213,4544
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_15_mips_O0.bad,MIPS,bap,Success,4.59,28.70,0,1476,1329
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_15_mips_O0.bad,MIPS,llvm,Success,.01,8.42,0,0,0
CWE401_Memory_Leak__char_malloc_21_riscv64_O3.good,UCB RISC-V,ghidra,Success,8.34,738.27,126,205,1707
CWE401_Memory_Leak__char_malloc_21_riscv64_O3.good,UCB RISC-V,angr,Failure - Crash,.73,112.62,0,0,0
CWE401_Memory_Leak__char_malloc_21_riscv64_O3.good,UCB RISC-V,bap,Success,4.47,28.36,0,775,806
CWE401_Memory_Leak__char_malloc_21_riscv64_O3.good,UCB RISC-V,llvm,Success,.01,8.56,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_char_03_armel_O3.bad,ARM,ghidra,Success,73.00,974.49,1303,32108,736398
CWE197_Numeric_Truncation_Error__int_fgets_to_char_03_armel_O3.bad,ARM,angr,Success,23.20,511.06,3701,33607,657887
