Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_18_mips_Os.good,MIPS,angr,Success,1.01,133.31,116,213,2927
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_18_mips_Os.good,MIPS,bap,Success,4.41,28.33,0,816,798
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_18_mips_Os.good,MIPS,llvm,Success,.01,8.53,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_riscv64_Ofast.bad,UCB RISC-V,ghidra,Success,7.86,781.64,128,190,1552
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_riscv64_Ofast.bad,UCB RISC-V,angr,Failure - Crash,.79,112.44,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_riscv64_Ofast.bad,UCB RISC-V,bap,Success,4.44,28.37,0,703,718
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_riscv64_Ofast.bad,UCB RISC-V,llvm,Success,.01,8.83,0,0,0
CWE401_Memory_Leak__int64_t_calloc_08_riscv64_O2.bad,UCB RISC-V,ghidra,Success,7.88,670.40,129,196,1531
CWE401_Memory_Leak__int64_t_calloc_08_riscv64_O2.bad,UCB RISC-V,angr,Failure - Crash,.74,112.58,0,0,0
CWE401_Memory_Leak__int64_t_calloc_08_riscv64_O2.bad,UCB RISC-V,bap,Success,4.43,28.77,0,701,729
CWE401_Memory_Leak__int64_t_calloc_08_riscv64_O2.bad,UCB RISC-V,llvm,Success,.02,8.83,0,0,0
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_31_armel_O0.bad,ARM,ghidra,Success,66.76,991.97,1304,32092,737632
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_31_armel_O0.bad,ARM,angr,Success,21.71,508.03,3348,33498,657570
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_31_armel_O0.bad,ARM,bap,Success,40.73,28.18,0,124082,219546
CWE197_Numeric_Truncation_Error__int_fscanf_to_short_31_armel_O0.bad,ARM,llvm,Success,.01,8.76,0,0,0
CWE401_Memory_Leak__int64_t_malloc_45_x86_64_O2.good,x86-64,ghidra,Success,7.80,736.69,132,192,2017
CWE401_Memory_Leak__int64_t_malloc_45_x86_64_O2.good,x86-64,angr,Success,.92,135.11,210,323,2805
CWE401_Memory_Leak__int64_t_malloc_45_x86_64_O2.good,x86-64,bap,Success,4.61,28.46,0,644,1577
CWE401_Memory_Leak__int64_t_malloc_45_x86_64_O2.good,x86-64,llvm,Success,.01,9.96,0,0,744
CWE401_Memory_Leak__twoIntsStruct_realloc_04_riscv64_O3.good,UCB RISC-V,ghidra,Success,7.97,673.19,126,197,1573
CWE401_Memory_Leak__twoIntsStruct_realloc_04_riscv64_O3.good,UCB RISC-V,angr,Failure - Crash,.73,112.51,0,0,0
CWE401_Memory_Leak__twoIntsStruct_realloc_04_riscv64_O3.good,UCB RISC-V,bap,Success,4.47,29.01,0,719,745
CWE401_Memory_Leak__twoIntsStruct_realloc_04_riscv64_O3.good,UCB RISC-V,llvm,Success,.01,8.67,0,0,0
CWE401_Memory_Leak__int_calloc_06_armel_O2.bad,ARM,ghidra,Success,8.38,752.38,138,226,5660
CWE401_Memory_Leak__int_calloc_06_armel_O2.bad,ARM,angr,Success,.97,133.19,119,252,3894
CWE401_Memory_Leak__int_calloc_06_armel_O2.bad,ARM,bap,Success,4.46,28.29,0,868,1665
CWE401_Memory_Leak__int_calloc_06_armel_O2.bad,ARM,llvm,Success,.01,8.50,0,0,0
CWE401_Memory_Leak__int64_t_realloc_04_mips_O2.bad,MIPS,ghidra,Success,8.26,708.30,107,171,2496
CWE401_Memory_Leak__int64_t_realloc_04_mips_O2.bad,MIPS,angr,Success,.99,133.70,105,196,2650
CWE401_Memory_Leak__int64_t_realloc_04_mips_O2.bad,MIPS,bap,Success,4.42,28.30,0,863,837
CWE401_Memory_Leak__int64_t_realloc_04_mips_O2.bad,MIPS,llvm,Success,.01,8.44,0,0,0
CWE401_Memory_Leak__twoIntsStruct_realloc_12_armel_O2.good,ARM,ghidra,Success,65.53,958.07,1304,32090,735869
CWE401_Memory_Leak__twoIntsStruct_realloc_12_armel_O2.good,ARM,angr,Success,20.95,510.52,3595,33573,657372
CWE401_Memory_Leak__twoIntsStruct_realloc_12_armel_O2.good,ARM,bap,Success,41.05,28.40,0,123732,219318
CWE401_Memory_Leak__twoIntsStruct_realloc_12_armel_O2.good,ARM,llvm,Success,.01,8.76,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_short_21_mips_O3.bad,MIPS,ghidra,Success,8.32,713.41,108,167,2498
CWE197_Numeric_Truncation_Error__int_fgets_to_short_21_mips_O3.bad,MIPS,angr,Success,.98,133.81,106,193,2681
CWE197_Numeric_Truncation_Error__int_fgets_to_short_21_mips_O3.bad,MIPS,bap,Success,4.49,28.59,0,858,831
CWE197_Numeric_Truncation_Error__int_fgets_to_short_21_mips_O3.bad,MIPS,llvm,Success,.01,8.69,0,0,0
CWE401_Memory_Leak__malloc_realloc_char_09_x86_64_O0.bad,x86-64,ghidra,Success,7.80,769.87,136,232,2916
CWE401_Memory_Leak__malloc_realloc_char_09_x86_64_O0.bad,x86-64,angr,Success,.90,134.67,158,309,4497
CWE401_Memory_Leak__malloc_realloc_char_09_x86_64_O0.bad,x86-64,bap,Success,4.65,28.28,0,1034,2149
CWE401_Memory_Leak__malloc_realloc_char_09_x86_64_O0.bad,x86-64,llvm,Success,.01,10.06,0,0,1079
CWE401_Memory_Leak__char_calloc_03_x86_64_O2.bad,x86-64,ghidra,Success,7.85,728.63,136,198,2204
CWE401_Memory_Leak__char_calloc_03_x86_64_O2.bad,x86-64,angr,Success,.92,135.01,216,332,2943
CWE401_Memory_Leak__char_calloc_03_x86_64_O2.bad,x86-64,bap,Success,4.58,28.50,0,684,1711
CWE401_Memory_Leak__char_calloc_03_x86_64_O2.bad,x86-64,llvm,Success,.01,9.78,0,0,783
CWE401_Memory_Leak__int_malloc_07_x86_64_Os.good,x86-64,ghidra,Success,7.59,819.05,133,191,1863
CWE401_Memory_Leak__int_malloc_07_x86_64_Os.good,x86-64,angr,Success,.89,134.03,155,266,2715
CWE401_Memory_Leak__int_malloc_07_x86_64_Os.good,x86-64,bap,Success,4.57,28.44,0,618,1476
CWE401_Memory_Leak__int_malloc_07_x86_64_Os.good,x86-64,llvm,Success,.01,9.92,0,0,668
CWE401_Memory_Leak__strdup_char_11_riscv64_O1.good,UCB RISC-V,ghidra,Success,7.98,737.72,129,250,2056
CWE401_Memory_Leak__strdup_char_11_riscv64_O1.good,UCB RISC-V,angr,Failure - Crash,.75,112.83,0,0,0
CWE401_Memory_Leak__strdup_char_11_riscv64_O1.good,UCB RISC-V,bap,Success,4.39,28.35,0,932,988
CWE401_Memory_Leak__strdup_char_11_riscv64_O1.good,UCB RISC-V,llvm,Success,.02,8.67,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_mips_O1.bad,MIPS,ghidra,Success,8.21,1021.38,108,188,2808
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_mips_O1.bad,MIPS,angr,Success,.96,134.08,107,215,3215
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_mips_O1.bad,MIPS,bap,Success,4.42,28.43,0,958,915
CWE197_Numeric_Truncation_Error__int_fgets_to_short_17_mips_O1.bad,MIPS,llvm,Success,.01,8.29,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_31_mips_O2.good,MIPS,ghidra,Success,8.08,829.68,107,174,2636
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_31_mips_O2.good,MIPS,angr,Success,1.07,133.51,105,199,2779
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_31_mips_O2.good,MIPS,bap,Success,5.36,27.96,0,897,869
CWE401_Memory_Leak__struct_twoIntsStruct_realloc_31_mips_O2.good,MIPS,llvm,Success,.01,8.76,0,0,0
CWE401_Memory_Leak__char_malloc_32_armel_O0.good,ARM,ghidra,Success,66.21,938.44,1304,32104,737936
CWE401_Memory_Leak__char_malloc_32_armel_O0.good,ARM,angr,Success,21.47,510.44,3643,33692,659253
CWE401_Memory_Leak__char_malloc_32_armel_O0.good,ARM,bap,Success,53.51,28.35,0,124163,219768
CWE401_Memory_Leak__char_malloc_32_armel_O0.good,ARM,llvm,Success,.01,8.50,0,0,0
CWE401_Memory_Leak__twoIntsStruct_malloc_42_armel_Os.bad,ARM,ghidra,Success,62.70,977.21,1304,32068,735397
CWE401_Memory_Leak__twoIntsStruct_malloc_42_armel_Os.bad,ARM,angr,Success,20.84,510.74,3705,33602,657296
CWE401_Memory_Leak__twoIntsStruct_malloc_42_armel_Os.bad,ARM,bap,Success,40.75,28.07,0,123566,218907
CWE401_Memory_Leak__twoIntsStruct_malloc_42_armel_Os.bad,ARM,llvm,Success,.01,8.50,0,0,0
CWE401_Memory_Leak__twoIntsStruct_calloc_44_x86_64_O2.good,x86-64,ghidra,Success,7.71,697.95,135,199,2157
CWE401_Memory_Leak__twoIntsStruct_calloc_44_x86_64_O2.good,x86-64,angr,Success,.94,135.20,213,332,2947
CWE401_Memory_Leak__twoIntsStruct_calloc_44_x86_64_O2.good,x86-64,bap,Success,4.59,28.51,0,679,1681
CWE401_Memory_Leak__twoIntsStruct_calloc_44_x86_64_O2.good,x86-64,llvm,Success,.01,10.52,0,0,775
CWE401_Memory_Leak__twoIntsStruct_malloc_18_armel_O3.bad,ARM,ghidra,Success,65.78,1023.68,1303,32077,735732
CWE401_Memory_Leak__twoIntsStruct_malloc_18_armel_O3.bad,ARM,angr,Success,22.02,511.89,3627,33575,656713
CWE401_Memory_Leak__twoIntsStruct_malloc_18_armel_O3.bad,ARM,bap,Success,40.97,28.46,0,123708,219221
CWE401_Memory_Leak__twoIntsStruct_malloc_18_armel_O3.bad,ARM,llvm,Success,.02,8.52,0,0,0
CWE366_Race_Condition_Within_Thread__int_byref_10_mips_O1.bad,MIPS,ghidra,Success,8.21,1005.80,106,263,3509
CWE366_Race_Condition_Within_Thread__int_byref_10_mips_O1.bad,MIPS,angr,Success,1.01,134.13,105,288,4206
CWE366_Race_Condition_Within_Thread__int_byref_10_mips_O1.bad,MIPS,bap,Success,4.52,28.75,0,1271,1168
CWE366_Race_Condition_Within_Thread__int_byref_10_mips_O1.bad,MIPS,llvm,Success,.01,8.70,0,0,0
CWE401_Memory_Leak__int64_t_calloc_17_mips_O0.good,MIPS,ghidra,Success,8.18,728.99,110,213,3913
CWE401_Memory_Leak__int64_t_calloc_17_mips_O0.good,MIPS,angr,Success,1.01,134.47,108,239,4917
CWE401_Memory_Leak__int64_t_calloc_17_mips_O0.good,MIPS,bap,Success,4.63,28.46,0,1584,1420
CWE401_Memory_Leak__int64_t_calloc_17_mips_O0.good,MIPS,llvm,Success,.01,8.81,0,0,0
CWE401_Memory_Leak__twoIntsStruct_calloc_31_x86_64_Ofast.bad,x86-64,ghidra,Success,7.74,674.64,136,200,2189
CWE401_Memory_Leak__twoIntsStruct_calloc_31_x86_64_Ofast.bad,x86-64,angr,Success,.91,135.26,215,334,3005
CWE401_Memory_Leak__twoIntsStruct_calloc_31_x86_64_Ofast.bad,x86-64,bap,Success,4.56,28.20,0,687,1699
CWE401_Memory_Leak__twoIntsStruct_calloc_31_x86_64_Ofast.bad,x86-64,llvm,Success,.01,10.04,0,0,784
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_03_riscv64_Os.bad,UCB RISC-V,ghidra,Success,7.86,734.39,129,194,1497
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_03_riscv64_Os.bad,UCB RISC-V,angr,Failure - Crash,.74,112.60,0,0,0
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_03_riscv64_Os.bad,UCB RISC-V,bap,Success,4.35,28.63,0,686,714
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_03_riscv64_Os.bad,UCB RISC-V,llvm,Success,.01,8.34,0,0,0
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_armel_O2.good,ARM,ghidra,Success,8.54,736.57,138,239,5872
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_armel_O2.good,ARM,angr,Success,.97,133.76,119,265,4090
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_armel_O2.good,ARM,bap,Success,4.56,28.39,0,917,1755
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_armel_O2.good,ARM,llvm,Success,.01,8.19,0,0,0
CWE401_Memory_Leak__twoIntsStruct_malloc_02_x86_64_Os.bad,x86-64,ghidra,Success,7.62,720.55,133,194,2023
CWE401_Memory_Leak__twoIntsStruct_malloc_02_x86_64_Os.bad,x86-64,angr,Success,.89,134.16,155,269,2844
CWE401_Memory_Leak__twoIntsStruct_malloc_02_x86_64_Os.bad,x86-64,bap,Success,4.52,28.31,0,640,1583
CWE401_Memory_Leak__twoIntsStruct_malloc_02_x86_64_Os.bad,x86-64,llvm,Success,.01,9.81,0,0,689
CWE401_Memory_Leak__int_calloc_44_riscv64_O2.bad,UCB RISC-V,ghidra,Success,7.87,821.10,129,196,1539
CWE401_Memory_Leak__int_calloc_44_riscv64_O2.bad,UCB RISC-V,angr,Failure - Crash,.74,112.67,0,0,0
CWE401_Memory_Leak__int_calloc_44_riscv64_O2.bad,UCB RISC-V,bap,Success,4.40,28.36,0,704,732
CWE401_Memory_Leak__int_calloc_44_riscv64_O2.bad,UCB RISC-V,llvm,Success,.01,8.41,0,0,0
CWE401_Memory_Leak__int64_t_calloc_34_armel_O0.good,ARM,ghidra,Success,8.56,811.50,141,249,7991
CWE401_Memory_Leak__int64_t_calloc_34_armel_O0.good,ARM,angr,Success,.93,133.70,120,275,5538
CWE401_Memory_Leak__int64_t_calloc_34_armel_O0.good,ARM,bap,Success,4.64,28.49,0,1315,2178
CWE401_Memory_Leak__int64_t_calloc_34_armel_O0.good,ARM,llvm,Success,.01,8.49,0,0,0
CWE401_Memory_Leak__malloc_realloc_int_09_riscv64_Os.bad,UCB RISC-V,ghidra,Success,7.84,716.80,128,207,1565
CWE401_Memory_Leak__malloc_realloc_int_09_riscv64_Os.bad,UCB RISC-V,angr,Failure - Crash,.74,112.19,0,0,0
CWE401_Memory_Leak__malloc_realloc_int_09_riscv64_Os.bad,UCB RISC-V,bap,Success,4.38,28.96,0,724,754
CWE401_Memory_Leak__malloc_realloc_int_09_riscv64_Os.bad,UCB RISC-V,llvm,Success,.01,8.60,0,0,0
CWE401_Memory_Leak__char_realloc_31_riscv64_O2.good,UCB RISC-V,ghidra,Success,8.02,699.41,127,194,1611
CWE401_Memory_Leak__char_realloc_31_riscv64_O2.good,UCB RISC-V,angr,Failure - Crash,.74,112.59,0,0,0
CWE401_Memory_Leak__char_realloc_31_riscv64_O2.good,UCB RISC-V,bap,Success,4.44,28.56,0,730,753
CWE401_Memory_Leak__char_realloc_31_riscv64_O2.good,UCB RISC-V,llvm,Success,.01,8.54,0,0,0
CWE401_Memory_Leak__int64_t_calloc_32_x86_64_O2.good,x86-64,ghidra,Success,7.74,688.39,135,194,2025
CWE401_Memory_Leak__int64_t_calloc_32_x86_64_O2.good,x86-64,angr,Success,.92,134.96,214,328,2824
CWE401_Memory_Leak__int64_t_calloc_32_x86_64_O2.good,x86-64,bap,Success,4.53,29.03,0,654,1589
CWE401_Memory_Leak__int64_t_calloc_32_x86_64_O2.good,x86-64,llvm,Success,.01,9.98,0,0,754
CWE401_Memory_Leak__int64_t_realloc_08_armel_Ofast.bad,ARM,ghidra,Success,8.43,751.67,135,225,5652
CWE401_Memory_Leak__int64_t_realloc_08_armel_Ofast.bad,ARM,angr,Success,.92,133.48,117,250,3890
CWE401_Memory_Leak__int64_t_realloc_08_armel_Ofast.bad,ARM,bap,Success,4.49,28.47,0,866,1659
CWE401_Memory_Leak__int64_t_realloc_08_armel_Ofast.bad,ARM,llvm,Success,.01,8.68,0,0,0
CWE197_Numeric_Truncation_Error__int_rand_to_short_06_mips_Ofast.bad,MIPS,ghidra,Success,8.20,726.26,105,168,2504
CWE197_Numeric_Truncation_Error__int_rand_to_short_06_mips_Ofast.bad,MIPS,angr,Success,.98,133.78,103,192,2684
CWE197_Numeric_Truncation_Error__int_rand_to_short_06_mips_Ofast.bad,MIPS,bap,Success,4.42,28.53,0,845,819
CWE197_Numeric_Truncation_Error__int_rand_to_short_06_mips_Ofast.bad,MIPS,llvm,Success,.01,8.61,0,0,0
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.bad,ARM,ghidra,Success,8.49,760.59,132,227,5640
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.bad,ARM,angr,Success,.98,133.05,115,251,4007
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.bad,ARM,bap,Success,4.49,29.07,0,889,1708
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.bad,ARM,llvm,Success,.01,8.68,0,0,0
CWE401_Memory_Leak__malloc_realloc_int_08_mips_O1.good,MIPS,ghidra,Success,8.14,731.80,108,207,2989
CWE401_Memory_Leak__malloc_realloc_int_08_mips_O1.good,MIPS,angr,Success,1.00,134.11,107,234,3461
CWE401_Memory_Leak__malloc_realloc_int_08_mips_O1.good,MIPS,bap,Success,4.48,28.10,0,1059,1007
CWE401_Memory_Leak__malloc_realloc_int_08_mips_O1.good,MIPS,llvm,Success,.01,8.45,0,0,0
CWE401_Memory_Leak__char_realloc_42_mips_Ofast.good,MIPS,ghidra,Success,8.18,706.39,108,173,2694
CWE401_Memory_Leak__char_realloc_42_mips_Ofast.good,MIPS,angr,Success,1.04,133.25,106,198,2834
CWE401_Memory_Leak__char_realloc_42_mips_Ofast.good,MIPS,bap,Success,4.50,28.75,0,914,885
CWE401_Memory_Leak__char_realloc_42_mips_Ofast.good,MIPS,llvm,Success,.01,8.50,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_char_08_armel_Os.good,ARM,ghidra,Success,66.09,997.24,1304,32105,736248
CWE197_Numeric_Truncation_Error__int_fgets_to_char_08_armel_Os.good,ARM,angr,Success,23.21,509.67,3393,33535,657515
CWE197_Numeric_Truncation_Error__int_fgets_to_char_08_armel_Os.good,ARM,bap,Success,41.45,28.65,0,123883,219588
CWE197_Numeric_Truncation_Error__int_fgets_to_char_08_armel_Os.good,ARM,llvm,Success,.01,8.39,0,0,0
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_10_x86_64_Ofast.good,x86-64,ghidra,Success,7.64,735.47,135,231,2382
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_10_x86_64_Ofast.good,x86-64,angr,Success,.93,135.30,216,367,3456
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_10_x86_64_Ofast.good,x86-64,bap,Success,4.57,28.25,0,787,1890
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_10_x86_64_Ofast.good,x86-64,llvm,Success,.01,10.19,0,0,878
CWE401_Memory_Leak__int_realloc_32_armel_Ofast.bad,ARM,ghidra,Success,8.59,780.81,135,225,5616
CWE401_Memory_Leak__int_realloc_32_armel_Ofast.bad,ARM,angr,Success,.91,133.37,117,250,3885
CWE401_Memory_Leak__int_realloc_32_armel_Ofast.bad,ARM,bap,Success,4.59,28.21,0,867,1670
CWE401_Memory_Leak__int_realloc_32_armel_Ofast.bad,ARM,llvm,Success,.01,8.29,0,0,0
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_06_mips_Ofast.bad,MIPS,ghidra,Success,8.02,811.05,107,164,2462
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_06_mips_Ofast.bad,MIPS,angr,Success,.98,133.66,105,189,2619
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_06_mips_Ofast.bad,MIPS,bap,Success,4.43,28.81,0,848,818
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_06_mips_Ofast.bad,MIPS,llvm,Success,.01,8.80,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_short_15_armel_O1.bad,ARM,ghidra,Success,65.73,1055.94,1303,32128,736745
CWE197_Numeric_Truncation_Error__int_fgets_to_short_15_armel_O1.bad,ARM,angr,Success,22.93,511.22,3512,33590,658333
CWE197_Numeric_Truncation_Error__int_fgets_to_short_15_armel_O1.bad,ARM,bap,Success,40.96,28.96,0,123870,219434
CWE197_Numeric_Truncation_Error__int_fgets_to_short_15_armel_O1.bad,ARM,llvm,Success,.01,8.72,0,0,0
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_x86_64_Os.good,x86-64,ghidra,Success,7.71,751.67,135,204,2036
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_x86_64_Os.good,x86-64,angr,Success,.89,134.24,158,282,2977
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_x86_64_Os.good,x86-64,bap,Success,4.55,28.53,0,680,1617
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_12_x86_64_Os.good,x86-64,llvm,Success,.01,9.98,0,0,726
CWE401_Memory_Leak__char_realloc_05_mips_Os.bad,MIPS,ghidra,Success,8.04,852.81,108,175,2786
CWE401_Memory_Leak__char_realloc_05_mips_Os.bad,MIPS,angr,Success,1.01,133.83,106,200,2972
CWE401_Memory_Leak__char_realloc_05_mips_Os.bad,MIPS,bap,Success,4.41,28.51,0,932,910
CWE401_Memory_Leak__char_realloc_05_mips_Os.bad,MIPS,llvm,Success,.01,8.66,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_char_44_armel_O3.good,ARM,ghidra,Success,66.03,937.92,1303,32106,736358
CWE197_Numeric_Truncation_Error__int_fgets_to_char_44_armel_O3.good,ARM,angr,Success,23.37,511.11,3588,33600,657821
CWE197_Numeric_Truncation_Error__int_fgets_to_char_44_armel_O3.good,ARM,bap,Success,40.72,28.90,0,123844,219418
CWE197_Numeric_Truncation_Error__int_fgets_to_char_44_armel_O3.good,ARM,llvm,Success,.01,8.48,0,0,0
CWE401_Memory_Leak__malloc_realloc_char_13_armel_O1.bad,ARM,ghidra,Success,8.67,758.46,139,262,6257
CWE401_Memory_Leak__malloc_realloc_char_13_armel_O1.bad,ARM,angr,Success,.93,133.46,118,288,4608
CWE401_Memory_Leak__malloc_realloc_char_13_armel_O1.bad,ARM,bap,Success,4.54,28.28,0,1014,1962
CWE401_Memory_Leak__malloc_realloc_char_13_armel_O1.bad,ARM,llvm,Success,.01,8.38,0,0,0
CWE401_Memory_Leak__char_realloc_08_armel_Ofast.bad,ARM,ghidra,Success,65.19,951.83,1303,32077,735679
CWE401_Memory_Leak__char_realloc_08_armel_Ofast.bad,ARM,angr,Success,21.54,511.65,3633,33545,657020
CWE401_Memory_Leak__char_realloc_08_armel_Ofast.bad,ARM,bap,Success,41.07,28.88,0,123683,219191
CWE401_Memory_Leak__char_realloc_08_armel_Ofast.bad,ARM,llvm,Success,.01,8.68,0,0,0
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.good,ARM,ghidra,Success,8.61,808.80,132,227,5640
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.good,ARM,angr,Success,.89,133.57,115,251,4007
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.good,ARM,bap,Success,4.49,28.37,0,889,1708
CWE484_Omitted_Break_Statement_in_Switch__basic_08_armel_O2.good,ARM,llvm,Success,.01,8.48,0,0,0
CWE401_Memory_Leak__twoIntsStruct_realloc_31_riscv64_O3.good,UCB RISC-V,ghidra,Success,7.85,794.80,126,197,1581
CWE401_Memory_Leak__twoIntsStruct_realloc_31_riscv64_O3.good,UCB RISC-V,angr,Failure - Crash,.75,112.64,0,0,0
CWE401_Memory_Leak__twoIntsStruct_realloc_31_riscv64_O3.good,UCB RISC-V,bap,Success,4.45,28.52,0,722,748
CWE401_Memory_Leak__twoIntsStruct_realloc_31_riscv64_O3.good,UCB RISC-V,llvm,Success,.01,8.66,0,0,0
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_09_mips_Ofast.bad,MIPS,ghidra,Success,8.28,722.85,119,192,2818
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_09_mips_Ofast.bad,MIPS,angr,Success,1.03,133.90,117,223,3023
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_09_mips_Ofast.bad,MIPS,bap,Success,4.44,28.33,0,955,930
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_09_mips_Ofast.bad,MIPS,llvm,Success,.01,8.21,0,0,0
CWE401_Memory_Leak__malloc_realloc_int_01_armel_O2.good,ARM,ghidra,Success,8.50,861.92,138,228,5659
CWE401_Memory_Leak__malloc_realloc_int_01_armel_O2.good,ARM,angr,Success,.90,133.26,119,254,3947
CWE401_Memory_Leak__malloc_realloc_int_01_armel_O2.good,ARM,bap,Success,4.48,28.18,0,877,1683
CWE401_Memory_Leak__malloc_realloc_int_01_armel_O2.good,ARM,llvm,Success,.01,8.49,0,0,0
CWE401_Memory_Leak__int64_t_calloc_41_armel_O3.bad,ARM,ghidra,Success,66.00,959.73,1303,32074,735625
CWE401_Memory_Leak__int64_t_calloc_41_armel_O3.bad,ARM,angr,Success,22.36,512.50,3677,33625,657060
CWE401_Memory_Leak__int64_t_calloc_41_armel_O3.bad,ARM,bap,Success,40.90,28.58,0,123750,219421
CWE401_Memory_Leak__int64_t_calloc_41_armel_O3.bad,ARM,llvm,Success,.01,8.50,0,0,0
CWE197_Numeric_Truncation_Error__int_rand_to_char_34_riscv64_O2.bad,UCB RISC-V,ghidra,Success,7.86,706.00,122,187,1514
CWE197_Numeric_Truncation_Error__int_rand_to_char_34_riscv64_O2.bad,UCB RISC-V,angr,Failure - Crash,.74,112.83,0,0,0
CWE197_Numeric_Truncation_Error__int_rand_to_char_34_riscv64_O2.bad,UCB RISC-V,bap,Success,4.44,28.76,0,689,702
CWE197_Numeric_Truncation_Error__int_rand_to_char_34_riscv64_O2.bad,UCB RISC-V,llvm,Success,.01,8.56,0,0,0
CWE401_Memory_Leak__int_calloc_32_riscv64_O0.bad,UCB RISC-V,ghidra,Success,8.09,752.81,132,217,2781
CWE401_Memory_Leak__int_calloc_32_riscv64_O0.bad,UCB RISC-V,angr,Failure - Crash,.77,131.21,0,0,0
CWE401_Memory_Leak__int_calloc_32_riscv64_O0.bad,UCB RISC-V,bap,Success,4.47,28.10,0,1181,1185
CWE401_Memory_Leak__int_calloc_32_riscv64_O0.bad,UCB RISC-V,llvm,Success,.01,8.57,0,0,0
CWE366_Race_Condition_Within_Thread__global_int_01_x86_64_O0.good,x86-64,ghidra,Success,7.95,801.81,131,246,3069
CWE366_Race_Condition_Within_Thread__global_int_01_x86_64_O0.good,x86-64,angr,Success,.90,134.77,151,317,4785
CWE366_Race_Condition_Within_Thread__global_int_01_x86_64_O0.good,x86-64,bap,Success,4.67,28.65,0,1065,2269
CWE366_Race_Condition_Within_Thread__global_int_01_x86_64_O0.good,x86-64,llvm,Success,.01,9.94,0,0,1098
CWE401_Memory_Leak__malloc_realloc_int64_t_12_x86_64_Os.bad,x86-64,ghidra,Success,7.72,765.74,135,204,1997
CWE401_Memory_Leak__malloc_realloc_int64_t_12_x86_64_Os.bad,x86-64,angr,Success,.88,134.02,158,282,2943
CWE401_Memory_Leak__malloc_realloc_int64_t_12_x86_64_Os.bad,x86-64,bap,Success,4.59,28.75,0,671,1590
CWE401_Memory_Leak__malloc_realloc_int64_t_12_x86_64_Os.bad,x86-64,llvm,Success,.01,10.55,0,0,717
CWE401_Memory_Leak__strdup_char_34_mips_O0.good,MIPS,ghidra,Success,8.48,738.14,108,194,3887
